項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1132,特願2014-041519,特開2015-166975,"2014/03/04
2015/09/24
2018/10/26",注釈情報付与プログラム及び情報処理装置,富士ゼロックス株式会社,"G06F17/21,550@A 
G06F17/21,570@R 
G06F17/27@Z 
他"
1133,特願2017-501100,特表2017-512614,"2015/03/18
2015/09/24
-",健康に関する専門知識及びリソースの割当ての管理,ピーチ インテリヘルス，インコーポレイティド,"A61B5/00,102@C 
G06Q50/24 
G06Q50/22 
他"
1134,特願2016-508591,再表2015/141328,"2015/02/09
2015/09/24
-",情報処理装置、制御方法、およびプログラム,ソニー株式会社,"G06F3/01,514 
G06F3/0484,120 
G06F3/0485 
他"
1135,特願2016-557216,特表2017-511942,"2015/03/12
2015/09/17
-",プロセス制御システムにおける分散ビッグデータ、プロセス制御デバイス、分散ビッグデータの支援方法、プロセス制御デバイス,フィッシャー－ローズマウント システムズ，インコーポレイテッド,"G05B23/02@T 
G05B23/02,301@V"
1136,特願2014-038948,特開2015-162229,"2014/02/28
2015/09/07
2017/06/02",特徴時間帯での消費電力量からユーザ属性を推定するプログラム、装置及び方法,ＫＤＤＩ株式会社,"G06F19/24 
G06Q10/00,130@Z 
G06Q50/06 
他"
1137,特願2014-033960,特開2015-158843,"2014/02/25
2015/09/03
2018/03/16",ムクドリを検知する画像処理方法、画像処理装置及び画像処理プログラム,一般財団法人電力中央研究所,"G06T7/20@B 
G06T7/20 
G06T7/246"
1138,特願2016-572372,特表2017-508229,"2015/02/27
2015/09/03
-",ジェスチャによって操作する手首装着型カメラシステム,グプタ ヴィカス,"G06F3/01,570 
H04N5/225@F 
H04N5/225 
他"
1139,特願2014-030871,特開2015-156127,"2014/02/20
2015/08/27
2017/09/29",特定動作検出装置,アイホン株式会社,"G06T7/20,300@Z"
1140,特願2016-552893,特表2017-506464,"2015/02/18
2015/08/27
2018/10/19",周波数依存的減衰段をチューニングするための装置及び方法,ドルビー ラボラトリーズ ライセンシング コーポレイション 他,"H04R3/04,101"
1141,特願2016-570195,特表2017-506169,"2015/02/20
2015/08/27
-",ロボット調理キッチン内の食品調製のための方法及びシステム,オレイニク マーク,"B25J13/08@A 
B25J13/00@Z"
1142,特願2014-022045,特開2015-148981,"2014/02/07
2015/08/20
2018/06/29",データ処理装置,日本電気株式会社,"G06F3/041,330@C 
G06F3/041,380@C 
G06F3/048,620 
他"
1143,特願2014-021033,特開2015-148917,"2014/02/06
2015/08/20
2017/09/08",情報処理装置及び情報処理プログラム,富士ゼロックス株式会社,"G06F17/30,120@B 
G06F17/30,180@A 
G06F17/30,419@B"
1144,特願2014-555033,再表2015/140922,"2014/03/18
2015/08/19
2015/06/26",情報処理システム、情報処理方法、および情報処理プログラム,楽天株式会社,"G06F17/30,220@B 
G06F17/30,170@B 
G06F17/30,230@Z"
1145,特願2015-102277,特開2015-144929,"2015/05/19
2015/08/13
2018/03/23",診断支援装置、診断支援装置の作動方法、及び診断支援システム,キヤノン株式会社,"A61B6/00,350@D 
A61B6/00,360@Z"
1146,特願2016-550565,特表2017-510881,"2014/02/07
2015/08/13
-",広告価格のディスカウント,グーグル インコーポレイテッド,"G06Q30/02,438"
1147,特願2016-550628,特表2017-508210,"2015/02/06
2015/08/13
-",識別のためのアンサンブル機械学習を利用するアプリケーション実行コントロール,サイランス・インコーポレイテッド,"G06N99/00,150"
1148,特願2016-546837,特表2017-510792,"2015/01/23
2015/08/06
-",全スライド組織セグメント化のための適応分類,ベンタナ メディカル システムズ， インコーポレイテッド,"G01N33/48@M 
G01N33/483@C 
G01N33/48@Z 
他"
1149,特願2016-549252,特表2017-509962,"2015/01/30
2015/08/06
-",構造化ファイルからの静的特徴抽出,サイランス・インコーポレイテッド,"G06F21/56,320"
1150,特願2014-008107,特開2015-139011,"2014/01/20
2015/07/30
2017/11/02",無線通信装置および無線通信方法,トヨタ自動車株式会社,"G06F21/24,166@A 
H04L9/00,673@D 
G06F21/55 
他"
1151,特願2014-005925,特開2015-135552,"2014/01/16
2015/07/27
2016/11/25",学習システム、車載装置、及び、サーバ,株式会社デンソー,"G06N3/08@Z 
G08G1/16@C 
G06N99/00,150 
他"
1152,特願2014-004014,特開2015-133608,"2014/01/14
2015/07/23
-",起床通知システム、起床通知プログラム、起床通知方法および起床通知装置,株式会社国際電気通信基礎技術研究所,"G04G13/02@Z 
H04M1/00@Z 
H04M11/00,301 
他"
1153,特願2014-004526,特開2015-131023,"2014/01/14
2015/07/23
2018/03/09",磁気共鳴イメージング装置,株式会社東芝 他,"A61B5/05,382 
A61B5/055,382"
1154,特願2016-546983,特表2017-507406,"2015/01/16
2015/07/23
-",タッチセンス装置において軽減された感度で作動するための装置及び方法,タクチュアル ラブズ シーオー．,"G06F3/041,570 
G06F3/041,510 
G06F3/041,560 
他"
1155,実願2015-002230,実登3198714,"2015/05/07
2015/07/16
2015/06/24",コンテクスチュアリゼーションシミュレート装置,金鼎聯合科技纖維股▲分▼有限公司,G06Q50/10
1156,特願2014-000158,特開2015-129988,"2014/01/06
2015/07/16
2018/02/23",データ処理装置,日本電気株式会社,"G06F17/30,210@D 
G06N5/04,580@J 
G06N5/02,120 
他"
1157,特願2016-544824,特表2017-508340,"2014/12/18
2015/07/16
-",近位ピアツーピアデバイスのパターン照合を使用した屋内ロケーションの判定,クアルコム，インコーポレイテッド,"H04M11/00,302"
1158,特願2014-003551,特開2015-127932,"2014/01/10
2015/07/09
-",メッセンジャー対話に基づく感情分析方法,スキャッターラブ インク,"G06Q50/10,180 
G06Q50/10"
1159,特願2016-562458,特表2017-507439,"2014/12/31
2015/07/09
-",頑強な量子アニーリング工程のための量子ハードウェアの構築およびプログラミング,グーグル インコーポレイテッド,"G06N99/00,120"
1160,特願2013-272021,特開2015-125736,"2013/12/27
2015/07/06
-",情報検索システム,株式会社日立ソリューションズ,"G06F17/30,170@A 
G06F17/30,210@D 
G06F17/30,340@B"
1161,特願2013-269458,特開2015-125585,"2013/12/26
2015/07/06
-",コンテンツスケジューリング装置、携帯端末、グラスディスプレイ型端末、コンテンツスケジューリング方法およびプログラム,ＫＤＤＩ株式会社,"G06F13/00,520@F 
G06Q30/02,150 
G06Q50/10 
他"
1162,特願2013-268762,特開2015-125553,"2013/12/26
2015/07/06
2017/06/23",教え合い品質推定装置、教え合い品質推定方法およびプログラム,ＫＤＤＩ株式会社,"G06Q50/20 
G09B19/00@G"
1163,特願2013-266469,特開2015-121731,"2013/12/25
2015/07/02
2017/04/14",発音辞書変換モデル作成装置と発音辞書変換装置とそれらの方法と、プログラムとその記録媒体,日本電信電話株式会社,"G10L15/06,300@M 
G10L15/06,400@V 
G10L15/06,500@Z 
他"
1164,特願2015-554352,再表2015/097773,"2013/12/25
2015/07/02
2017/09/15",要因抽出システム、要因抽出方法,株式会社日立製作所,"G06F17/30,220@Z 
G06Q10/04 
G06F17/18 
他"
1165,特願2013-261700,特開2015-116331,"2013/12/18
2015/06/25
2017/07/28",超音波診断装置、医用画像診断装置および検査手順発生プログラム,株式会社東芝 他,A61B8/00
1166,特願2016-539043,特表2017-503548,"2014/11/28
2015/06/25
-",自動超音波ビームステアリング及びニードルアーチファクト抑制,コーニンクレッカ フィリップス エヌ ヴェ,A61B8/14
1167,特願2013-258642,特開2015-115007,"2013/12/13
2015/06/22
-",機械翻訳装置及び機械翻訳プログラム,日本放送協会,"G06F17/28@Q 
G06F17/28,618 
G06F17/28,627"
1168,特願2016-539213,特表2016-540319,"2013/12/11
2015/06/18
-",見積もり価格、たとえば航空運賃価格見積もりの組を提供するための方法及びサーバ,スカイスキャナー リミテッド,"G06Q30/06,310 
G06Q50/14"
1169,特願2016-539207,特表2016-540318,"2014/09/18
2015/06/18
-",運賃利用可能性、たとえば航空運賃利用可能性を提供するための方法及びサーバ,スカイスキャナー リミテッド,"G06Q30/02,490 
G06Q50/30 
G06Q10/02,300"
1170,特願2013-251966,特開2015-109004,"2013/12/05
2015/06/11
2017/09/29",情報処理プログラム及び情報処理装置,富士ゼロックス株式会社,"G06F17/21,550@A 
G06F17/27@Z 
G06F17/30,170@A 
他"
1171,特願2014-242720,特開2015-108375,"2014/12/01
2015/06/11
-",故障した燃焼器を検出するためのシステムおよび方法,ゼネラル・エレクトリック・カンパニイ,"F02C9/00@B 
G05B23/02,302@R 
F01D25/00@V 
他"
1172,特願2016-535232,特表2017-502388,"2014/05/23
2015/06/11
-",通信に関するユーザのアベイラビリティのインジケータ表示,フェイスブック，インク．,"G06Q50/00,300"
1173,特願2016-536240,特表2016-538944,"2014/11/24
2015/06/11
-",効率的治療計画トレードオフ分析,コーニンクレッカ フィリップス エヌ ヴェ,A61N5/10@P
1174,特願2015-551363,再表2015/083293,"2013/12/06
2015/06/11
2018/03/30",教師あり機械学習装置、教師あり機械学習方法、および教師あり機械学習プログラム,株式会社日立製作所,"G06F17/27,665 
G06F17/27,655 
G06F17/27,670"
1175,特願2014-185569,特開2015-103243,"2014/09/11
2015/06/04
-",医用情報処理装置、医用情報処理方法、画像診断システム、コンピュータ可読記憶媒体および情報処理装置,株式会社東芝 他,"A61B5/00@D 
G06Q50/24,120 
G06Q50/24 
他"
1176,特願2016-556246,特表2017-505964,"2014/11/25
2015/06/04
-",機械学習に基づく自動タスク分類,株式会社ＮＴＴドコモ,"G06F17/30,210@D 
G06F17/30,350@C 
G06N99/00,156"
1177,特願2015-529732,再表2015/080001,"2014/11/19
2015/06/04
2015/12/11",培地情報登録システム、コロニー検出装置、プログラム及び衛生管理システム,大日本印刷株式会社,"C12M1/34@B 
G01N21/27@A 
C12Q1/04 
他"
1178,特願2013-238796,特開2015-099251,"2013/11/19
2015/05/28
2017/08/18",ポーズ推定装置、方法、プログラム,日本電信電話株式会社,"G10L13/033,101@A 
G10L13/10,111@D"
1179,特願2016-532125,特表2017-500639,"2014/11/21
2015/05/28
2017/09/22",機械学習における重みの生成,カリフォルニア インスティテュート オブ テクノロジー,"G06N99/00,150"
1180,特願2016-532121,特表2017-500638,"2014/11/21
2015/05/28
2017/09/22",機械学習における重み生成,カリフォルニア インスティテュート オブ テクノロジー,"G06N99/00,150"
1181,特願2016-532028,特表2017-500637,"2014/11/21
2015/05/28
2018/01/19",訓練データに関する重み利益エバリュエータ,カリフォルニア インスティテュート オブ テクノロジー,"G06N99/00,153"
1182,特願2014-221693,特開2015-095260,"2014/10/30
2015/05/18
2018/10/05",ユーザアクティビティラベルと凝視とを関連付ける方法、コンピュータシステム、及びプログラム,富士ゼロックス株式会社,"G06F3/048,651@A 
G06F3/01,510 
G06F3/038,310@A"
1183,特願2013-235883,特開2015-095219,"2013/11/14
2015/05/18
-",情報処理装置、情報処理方法および記憶媒体,ソニー株式会社,"G06F3/14,350@A 
G06F9/46,452@J 
G06F9/48,300@J"
1184,特願2014-262673,特開2015-091359,"2014/12/25
2015/05/14
2016/01/22",脳機能訓練装置および脳機能訓練プログラム,株式会社国際電気通信基礎技術研究所,"A63B69/00@C 
A61M21/00,330@Z 
A61M21/00@A 
他"
1185,特願2013-227634,特開2015-087328,"2013/10/31
2015/05/07
2018/04/13",体長種別判別装置、水中探知装置及び体長種別判別方法,学校法人東北学院 他,G01S15/96
1186,特願2013-226034,特開2015-085437,"2013/10/30
2015/05/07
-",判定装置、判定方法、および判定プログラム,富士通株式会社,B25J13/08@A
1187,特願2013-221348,特開2015-082295,"2013/10/24
2015/04/27
2018/02/16",人物検出装置及びプログラム,日本放送協会,"G06T7/00,300@F"
1188,特願2013-218400,特開2015-082137,"2013/10/21
2015/04/27
2017/07/14",滞留目的推定装置および滞留目的推定方法,株式会社ＮＴＴドコモ,"G06F17/30,210@D 
G06F17/30,220@Z 
G06F17/30,340@B 
他"
1189,特願2014-208026,特開2015-079504,"2014/10/09
2015/04/23
2018/10/05",ネットワーク動作アーチファクトの順序によるマルウェアの分類,ベリサイン・インコーポレイテッド,"G06F21/56,360"
1190,特願2013-210793,特開2015-075854,"2013/10/08
2015/04/20
2017/06/02",矛盾表現収集装置及びそのためのコンピュータプログラム,独立行政法人情報通信研究機構,"G06F17/30,170@A 
G06F17/30,210@D 
G06F17/30,220@Z"
1191,特願2013-208264,特開2015-072614,"2013/10/03
2015/04/16
2016/05/13",特定のテーマに依存して危険表現となりうる表現を検出する方法、並びに、当該表現を検出するための電子装置及びその電子装置用プログラム,インターナショナル・ビジネス・マシーンズ・コーポレーション,"G06F17/30,170@A 
G06F17/30,220@Z 
G06F17/30,340@A 
他"
1192,特願2016-521325,特表2016-533782,"2014/10/13
2015/04/16
-",映像医療機器により取得した画像を特徴づける方法およびシステム,マウナ ケア テクノロジーズ,"A61B1/04,370 
G06T1/00,290 
G06T7/20@C 
他"
1193,特願2013-206055,特開2015-069608,"2013/10/01
2015/04/13
2017/05/26",ユーザと対話的に検索を進行させるプログラム、サーバ及び方法,ＫＤＤＩ株式会社,"G06F17/30,180@A 
G06F17/30,340@Z"
1194,特願2013-205546,特開2015-069580,"2013/09/30
2015/04/13
-",人物画像分類装置、人物画像分類方法、及び、プログラム,大日本印刷株式会社,"G06T7/00,350@B 
G06T7/00,510@B"
1195,特願2013-201242,特開2015-068897,"2013/09/27
2015/04/13
-",発話の評価方法及び装置、発話を評価するためのコンピュータプログラム,国立大学法人 東京大学,"G09B19/04 
G10L25/60"
1196,特願2013-198777,特開2015-064778,"2013/09/25
2015/04/09
-",検出対象識別装置、変換装置、監視システム、及びコンピュータプログラム,住友電気工業株式会社 他,"G06T7/00,300@F 
G06T7/00,350@B"
1197,特願2015-005346,特開2015-062817,"2015/01/14
2015/04/09
2018/05/25",脳活動解析装置、脳活動解析方法、判別器生成装置、判別器生成方法、バイオマーカー装置およびプログラム、健康管理装置およびプログラム、ならびに判別器のプログラム,株式会社国際電気通信基礎技術研究所,"A61B5/05,382 
A61B5/05,376 
A61B5/055,376 
他"
